"","hosp_code","prod_code","real_revenue","real_volume","sr_sales_performance","deployment_quality_index","promotional_support_index","customer_relationship_index","sales_performance","offer_attractiveness","sales_skills_index","product_knowledge_index","motivation_index"
"1",1,1,912000,10247,13.62025166265,56,54.7446457069173,17,15.16304303695,16,15,60,30
"2",1,2,133000,2046,12.361626612225,25,45.468300232311,44,12.115095064885,7,15,60,30
"3",1,3,180500,1900,4.293917312,62,101.427907657246,51,9.2480243654,10,15,60,30
"4",1,4,0,0,0,12,0,0,0.2714021,0,15,60,30
"5",2,1,273600,3074,6.81667157671875,41,61.2429944,37,8.04396572383125,16,5,29,52
"6",2,2,155800,2397,22.13631545125,63,75.4461806475416,52,27.8336355877,18,5,29,52
"7",2,3,44460,468,0.491191710625,76,31.5152916066974,52,5.281300565975,17,5,29,52
"8",2,4,0,0,0,12,0,0,0.37355794,0,5,29,52
"9",3,1,741000,8326,37.8445610502,57,21.6394016842018,42,37.64551996769,22,12,46,42
"10",3,2,79800,1228,5.9337729927,35,4.00664755696279,17,6.60978680622,7,12,46,42
"11",3,3,19950,210,0.6091018493,48,4.71979491300249,40,2.79438572686,7,12,46,42
"12",3,4,0,0,0,12,0,0,0.474953675,0,12,46,42
"13",4,1,641250,7205,29.94621003,27,72.431749505155,23,27.8580113395,23,5,29,52
"14",4,2,123120,1894,9.24857198328125,69,33.8070507491977,50,14.9636521336312,11,5,29,52
"15",4,3,45600,480,0.280101058125,54,7.66683971612526,48,2.749145515675,8,5,29,52
"16",4,4,0,0,0,12,0,0,0.37355794,0,5,29,52
"17",5,1,153900,1729,5.7205454767,45,31.9517534537233,26,8.40453292957,15,12,46,42
"18",5,2,75240,1158,16.784449731,57,28.7668533626232,39,20.7830720628,14,12,46,42
"19",5,3,19000,200,0.7100985888,39,20.1306102182448,45,3.601529969115,10,12,46,42
"20",5,4,0,0,0,12,0,0,0.474953675,0,12,46,42
"21",6,1,444600,4996,18.2927333866469,65,101.0910447955,37,21.3590963744006,22,6,25,50
"22",6,2,117648,1810,14.5969754969187,78,61.1024356918991,47,22.3701926557862,19,6,25,50
"23",6,3,25650,270,0.62334094370625,39,19.4973252830564,47,2.90236495395625,11,6,25,50
"24",6,4,0,0,0,12,0,0,0.37355794,0,6,25,50
"25",7,1,384750,4323,29.533484829825,44,49.38050660009,47,30.436796018165,23,6,25,50
"26",7,2,85500,1315,7.57617299325,41,25.6886830998879,40,8.25671144725,9,6,25,50
"27",7,3,13680,144,0.33642225973125,54,16.8207748511565,41,3.17274821997375,8,6,25,50
"28",7,4,0,0,0,12,0,0,0.37355794,0,6,25,50
"29",8,1,123120,1383,2.8253771008,72,0,32,9.1406994396,20,15,60,30
"30",8,2,45144,695,7.29141307450625,51,31.6574168269002,51,12.2416033745063,14,15,60,30
"31",8,3,5320,56,0.334959728425,62,18.6837148351053,46,4.751963836745,15,15,60,30
"32",8,4,0,0,0,12,0,0,0.2714021,0,15,60,30
"33",9,1,106020,1191,5.3994510908,66,26.3332760270626,50,11.22603118376,27,12,50,53
"34",9,2,50890,783,11.1541688373562,66,32.676130961713,50,18.5854080760838,13,12,50,53
"35",9,3,12540,132,0.33487023804375,51,20.0372668921722,36,2.98593476640875,14,12,50,53
"36",9,4,0,0,0,12,0,0,0.37355794,0,12,50,53
"37",10,1,1299600,14602,20.5632537462,46,36.0001956461911,25,20.36795180396,19,12,50,53
"38",10,2,123500,1900,6.14082890505,49,37.7349291887202,40,8.48453244437,10,12,50,53
"39",10,3,125400,1320,0.942999049575,50,61.0810563678538,50,4.532677224295,14,12,50,53
"40",10,4,0,0,0,12,0,0,0.37355794,0,12,50,53
